Sub.ID,Encoding,Group,Direction,JOL,Scored,Experiment
9,RL,JOL A,B,60,0,2
9,RL,JOL A,B,50,1,2
9,RL,JOL A,B,10,0,2
9,RL,JOL A,B,80,1,2
9,RL,JOL A,B,60,1,2
9,RL,JOL A,B,50,1,2
9,RL,JOL A,B,70,1,2
9,RL,JOL A,B,70,1,2
9,RL,JOL A,B,60,1,2
9,RL,JOL A,B,40,1,2
9,RL,JOL A,B,65,1,2
9,RL,JOL A,B,75,1,2
9,RL,JOL A,B,70,1,2
9,RL,JOL A,B,80,1,2
9,RL,JOL A,B,60,1,2
9,RL,JOL A,B,49,1,2
9,RL,JOL A,B,50,0,2
9,RL,JOL A,B,80,1,2
9,RL,JOL A,B,35,1,2
9,RL,JOL A,S,80,1,2
9,RL,JOL A,S,60,0,2
9,RL,JOL A,S,40,0,2
9,RL,JOL A,S,78,0,2
9,RL,JOL A,S,60,0,2
9,RL,JOL A,S,50,0,2
9,RL,JOL A,S,70,1,2
9,RL,JOL A,S,70,1,2
9,RL,JOL A,S,100,0,2
9,RL,JOL A,S,35,1,2
9,RL,JOL A,S,70,0,2
9,RL,JOL A,S,50,1,2
9,RL,JOL A,S,90,1,2
9,RL,JOL A,S,100,1,2
9,RL,JOL A,S,80,0,2
9,RL,JOL A,S,70,1,2
9,RL,JOL A,S,80,1,2
9,RL,JOL A,S,80,1,2
9,RL,JOL A,S,60,0,2
9,RL,JOL A,S,90,1,2
9,RL,JOL A,U,10,0,2
9,RL,JOL A,U,10,0,2
9,RL,JOL A,U,48,0,2
9,RL,JOL A,U,36,0,2
9,RL,JOL A,U,19,0,2
9,RL,JOL A,U,25,0,2
9,RL,JOL A,U,10,0,2
9,RL,JOL A,U,10,0,2
9,RL,JOL A,U,10,0,2
9,RL,JOL A,U,50,0,2
9,RL,JOL A,U,10,0,2
9,RL,JOL A,U,20,0,2
9,RL,JOL A,U,29,0,2
9,RL,JOL A,U,20,0,2
9,RL,JOL A,U,35,0,2
9,RL,JOL A,U,10,0,2
9,RL,JOL A,U,10,0,2
9,RL,JOL A,U,30,0,2
9,RL,JOL A,U,25,0,2
9,RL,JOL A,U,30,1,2
10,RL,JOL B,F,78,0,2
10,RL,JOL B,F,100,1,2
10,RL,JOL B,F,100,1,2
10,RL,JOL B,F,83,1,2
10,RL,JOL B,F,90,1,2
10,RL,JOL B,F,45,0,2
10,RL,JOL B,F,90,1,2
10,RL,JOL B,F,87,1,2
10,RL,JOL B,F,65,1,2
10,RL,JOL B,F,87,1,2
10,RL,JOL B,F,90,1,2
10,RL,JOL B,F,90,1,2
10,RL,JOL B,F,100,1,2
10,RL,JOL B,F,100,1,2
10,RL,JOL B,F,92,1,2
10,RL,JOL B,F,89,1,2
10,RL,JOL B,F,50,0,2
10,RL,JOL B,F,90,1,2
10,RL,JOL B,F,100,0,2
10,RL,JOL B,F,76,1,2
10,RL,JOL B,B,87,0,2
10,RL,JOL B,B,89,0,2
10,RL,JOL B,B,100,0,2
10,RL,JOL B,B,100,1,2
10,RL,JOL B,B,98,1,2
10,RL,JOL B,B,87,1,2
10,RL,JOL B,B,100,0,2
10,RL,JOL B,B,87,1,2
10,RL,JOL B,B,78,1,2
10,RL,JOL B,B,98,0,2
10,RL,JOL B,B,95,0,2
10,RL,JOL B,B,54,0,2
10,RL,JOL B,B,100,0,2
10,RL,JOL B,B,97,0,2
10,RL,JOL B,B,98,0,2
10,RL,JOL B,B,90,1,2
10,RL,JOL B,B,95,0,2
10,RL,JOL B,B,93,0,2
10,RL,JOL B,B,70,1,2
10,RL,JOL B,B,98,0,2
10,RL,JOL B,S,98,1,2
10,RL,JOL B,S,78,1,2
10,RL,JOL B,S,78,1,2
10,RL,JOL B,S,89,1,2
10,RL,JOL B,S,98,1,2
